sold_price_eur,asking_price_eur,bed_no,bath_no,size,house_type,region,detached,semi_d,terrace,apartment,dublin,cork,galway,dub_inner_ring,dub_outer_ring,urban_south,other
431000,380000,3,2,106,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
280000,225000,2,1,70,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
255000,235000,2,2,58,Apartment,dublin,0,0,0,1,1,0,0,0,0,0,0
227000,225000,3,3,NA,Terrace,other,0,0,1,0,0,0,0,0,0,0,1
195000,195000,4,2,NA,Terrace,dub_outer_ring,0,0,1,0,0,0,0,0,1,0,0
185000,185000,3,2,NA,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
469000,595000,4,3,260,Detached,other,1,0,0,0,0,0,0,0,0,0,1
400000,345000,3,1,100,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
394000,345000,3,1,NA,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
342000,340000,3,1,78,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
235000,235000,3,2,96,Semi-D,galway,0,1,0,0,0,0,1,0,0,0,0
174000,175000,3,1,NA,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
3100000,3450000,4,4,339,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
350000,375000,6,3,210,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
250000,275000,3,2,112,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
125000,139000,2,1,75,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
1450000,1495000,4,3,209,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
733000,795000,4,3,106,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
520000,550000,4,3,NA,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
420000,420000,4,3,147,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
165000,165000,3,2,119,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
825000,825000,4,2,140,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
630000,495000,4,3,NA,Detached,dublin,1,0,0,0,1,0,0,0,0,0,0
450000,425000,3,1,92,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
251000,300000,2,1,62,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
580000,595000,3,1,91,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
530000,595000,4,3,250,Terrace,urban_south,0,0,1,0,0,0,0,0,0,1,0
445000,425000,3,2,125,Semi-D,dub_inner_ring,0,1,0,0,0,0,0,1,0,0,0
440000,440000,5,4,NA,Detached,dub_inner_ring,1,0,0,0,0,0,0,1,0,0,0
401000,370000,4,2,128,Terrace,dub_inner_ring,0,0,1,0,0,0,0,1,0,0,0
280000,285000,3,2,108,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
205000,240000,3,2,106,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
186000,170000,3,2,NA,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
460000,475000,4,3,170,Detached,other,1,0,0,0,0,0,0,0,0,0,1
450000,395000,3,2,141,Terrace,cork,0,0,1,0,0,1,0,0,0,0,0
330000,345000,4,4,131,Detached,other,1,0,0,0,0,0,0,0,0,0,1
260000,225000,3,2,108,Detached,other,1,0,0,0,0,0,0,0,0,0,1
355000,285000,2,1,81,Semi-D,dublin,0,1,0,0,1,0,0,0,0,0,0
290000,295000,3,2,120,Detached,dub_outer_ring,1,0,0,0,0,0,0,0,1,0,0
110000,130000,2,3,NA,Semi-D,other,0,1,0,0,0,0,0,0,0,0,1
277000,285000,2,2,65,Terrace,dublin,0,0,1,0,1,0,0,0,0,0,0
255000,260000,4,3,160,Semi-D,dub_outer_ring,0,1,0,0,0,0,0,0,1,0,0
198725,249000,3,1,69,Semi-D,cork,0,1,0,0,0,1,0,0,0,0,0
